trade_date,close,vol,amount,momentum_20d,vwap_dev_20d,obi
20241011,11.72,2070890.57,2455848.197,0.1696606786427146,0.10464580783159327,-0.09478574103492043
20241014,12.02,2400595.09,2881934.272,0.19364448857994043,0.12246103610829877,0.03528315415992668
20241015,11.9,2072840.77,2500974.427,0.18055555555555558,0.10137336708036383,-0.01852835405128836
20241016,12.06,1914493.53,2301340.929,0.2243654822335026,0.10539872898624304,0.07601116108820606
20241017,11.95,1653708.09,1993261.646,0.20707070707070696,0.08435043728058766,-0.025634825269250813
20241018,12.04,2604654.16,3105820.973,0.24766839378238337,0.08174023016879998,0.037838764473509715
20241021,11.81,2806654.67,3302020.181,0.21252566735112932,0.051367023563737166,-0.0958194150624958
20241022,11.79,1617787.13,1908438.725,0.2154639175257731,0.04018989601344504,-0.0012367521422884083
20241023,11.86,1511866.04,1787236.762,0.2139201637666326,0.036803692416831915,0.01720169107700634
20241024,11.75,885299.42,1042818.619,0.19775739041794083,0.01829540055640415,-0.057845342195737136
20241025,11.71,1105754.68,1296844.369,0.18282828282828278,0.006624809240179735,-0.09897287394910109
20241028,11.64,1169486.98,1356008.963,0.1593625498007969,-0.006180557505371527,-0.11893367357116377
20241029,11.54,1198024.82,1391150.259,0.11282545805207334,-0.020439546366269514,-0.08657373960212655
20241030,11.32,1482402.79,1686501.658,0.07809523809523822,-0.04235295642817843,-0.14228862301750342
20241031,11.38,1250205.39,1419624.319,0.020627802690583064,-0.039422260964384524,0.008025058677103493
20241101,11.43,1589811.11,1821423.447,0.0008756567425569628,-0.03585312974330582,0.04089277398015445
20241104,11.46,1131516.11,1285874.126,-0.061425061425061434,-0.031092254493984447,0.011533553833727655
20241105,11.65,1665418.4,1925260.7,-0.09549689440993792,-0.009375904999919487,0.04989609263729355
20241106,11.55,1462286.36,1689977.501,-0.011130136986301276,-0.015546546270610005,-0.10960325994135368
20241107,11.91,2242843.79,2627007.561,-0.005843071786310494,0.016177397242047604,0.1105933717392753
20241108,11.72,1895104.15,2239060.534,0.0,0.00015375647906978445,-0.09041554798637555
20241111,11.6,1486951.64,1717961.562,-0.03494176372712143,-0.008175976779593747,-0.06295052272905184
20241112,11.54,1717662.55,2005791.408,-0.03025210084033625,-0.011666727220535435,-0.019996974651093152
20241113,11.61,1086263.28,1260161.857,-0.037313432835821,-0.003881212175032176,0.003878239550058661
20241114,11.54,1159783.11,1348378.229,-0.03430962343096233,-0.008069394212001564,-0.04730300803481385
20241115,11.44,1215783.51,1399308.729,-0.04983388704318936,-0.014909689870928458,-0.023323035953297433
20241118,11.75,3797324.45,4493249.093,-0.005080440304826461,0.011489348053260772,0.03434759375946099
20241119,11.68,2430036.65,2849661.696,-0.009329940627650468,0.005765506444389581,-0.025660753914208925
20241120,11.64,1286572.48,1498818.034,-0.018549747048903775,0.0030626173342579166,-0.048507118092484765
20241121,11.59,883408.06,1023998.432,-0.013617021276595809,-0.00043716041927908115,-0.1204936624584019
20241122,11.28,1625317.44,1858071.592,-0.03672075149444931,-0.025928998949742384,-0.19589274087852343
20241125,11.18,1166020.32,1310130.629,-0.03951890034364269,-0.033065631149734646,-0.11784677531093393
20241126,11.27,831078.2,933733.855,-0.023396880415944454,-0.02369080332456616,-0.0543768467218738
20241127,11.39,895178.05,1010001.964,0.006183745583038913,-0.01289290975576845,0.03499756587805892
20241128,11.34,733168.54,833121.339,-0.0035149384885765356,-0.017260920494074673,-0.06390119366022555
20241129,11.38,1028487.58,1173316.154,-0.004374453193350725,-0.013586383580501822,0.023655993513339305
20241202,11.39,975433.66,1108785.597,-0.00610820244328103,-0.012732142917215033,-0.07325333693669037
20241203,11.49,1082559.36,1236992.678,-0.01373390557939913,-0.0034870219548229836,0.07295141889209093
20241204,11.46,1007470.59,1154623.37,-0.007792207792207795,-0.005672904231165366,-0.03394019671118286
20241205,11.44,687108.83,786137.964,-0.0394626364399665,-0.006237291318066133,-0.014401912138662917
20241206,11.66,1726269.27,2004270.466,-0.005119453924914752,0.01377423585831396,0.12566175748859482
20241209,11.67,964063.16,1123441.855,0.0060344827586207295,0.014204472350717978,-0.023763005972907827
20241210,11.79,2167807.24,2564600.677,0.02166377816291165,0.02395279892582539,0.0613300848122221
20241211,11.73,967691.45,1138374.175,0.010335917312661591,0.018021594637552683,-0.09087946518088753
20241212,11.85,986234.59,1164062.448,0.026863084922010394,0.027646942131007834,0.04367006138498166
20241213,11.56,1343792.89,1565589.089,0.010489510489510634,0.001885232492565843,-0.14365750336367555
20241216,11.57,805717.78,934226.189,-0.015319148936170146,0.0037859343507561393,-0.015253683608101276
20241217,11.53,802119.95,929225.455,-0.012842465753424737,0.0009330784976055252,0.016739585478373023
20241218,11.65,1016589.66,1186285.805,0.0008591065292096189,0.011264514833737452,0.0680172689599103
20241219,11.59,697379.04,808465.664,0.0,0.0060499038893820625,-0.07708548114353035
20241220,11.62,714646.27,831437.46,0.03014184397163122,0.007769610212380103,0.05991759801139148
20241223,11.73,1659404.76,1953519.499,0.04919499105545633,0.014948386393136176,0.05361437051706682
20241224,11.86,1350836.91,1595698.79,0.05235137533274181,0.02363944132332283,0.02637723854207388
20241225,11.92,1475282.94,1759956.63,0.04653204565408253,0.025953774459448197,0.007922244298762036
20241226,11.86,1000074.7,1183745.519,0.04585537918871241,0.01871473635269198,-0.009958509615988969
20241227,11.83,1290012.28,1518383.345,0.039543057996485054,0.014559979040716672,-0.12617497935442246
20241230,11.95,1351846.36,1610892.096,0.049165935030728525,0.022443800372204285,0.05081579160765088
20241231,11.7,1475367.33,1747242.074,0.018276762402088753,-0.0007254616668349886,-0.08995088312057506
